loan_number,application_date,lock_date,note_rate,LTV,CLTV,DTI,FICO,UW_system,funded_date,action_date,file_status,loan_program
10000822,05/20/26,05/29/26,8.229%,0.3326,39.431%,0.2983,745,LPA,NA,06/05/2026,Lock Expired,Conv 30
10015119,03/24/2025,04/02/2025,4.429%,74.67,75.075%,37.013%,784, DU ,2025-05-06,NA,funded, conventional 30 
10013467,04/19/25,,6.179%,0.6812, 67.9 ,35.22%,752,DU,07/20/25,N/A, Funded ,F.H.A.
10026498,Jan 22 2026,02/07/26,7.65,56.303%, 64.0 , 42.3 ,796,LPA,05-03-2026,,funded,CONV30
10042112,04/14/23,May 18 2023,5.69%,85.7,81.33,49.52,818,Desktop Underwriter,08/11/2023,NULL,Fund,Conventional 30YR
10030189,2024-02-19,2024-02-23,7.792%,0.8384,0.793,30.447%,814,D.U.,20240520,,Funded,Jumbo
10037238,May 25 2023,2023-06-10,6.853%,105.0,115.000%,52.52,796, LPA ,07/26/2023,N/A,Fund,V.A.
10033110,05/25/2025,06/03/25,6.44,83.71,79.47,35.24,699, DU ,,07-27-2025,Lock Expired,VA
10036481,09/06/24,2024-10-12, 7.3 ,77.12,0.8149,0.2176,None,LPA,12-30-2024,NULL,FUNDED,Conv 30
10024149,2026-05-05,2026-05-26,7.459%,72.23,67.891%,28.930%,812,LPA,06/07/2026,NULL,Funded,Conv 30yr
10005504,07-27-2025,20250910,5.83%,0.8265,86.88,,676,du,NA,20251105,CANCELLED,FHA 30YR
10003919,20251127,12-07-2025,6.138%,0.857,81.36,33.73,709, LPA ,N/A,2025-12-21,CANCELLED,30 Year Conventional
10038479,12/25/24,Jan 10 2025,5.91%,0.6552, 83.8 ,37.78,752,Desktop Underwriter,Feb 13 2025,None, Funded ,FHA 30YR
10021124,02/16/23,20230308,7.57%,0.6718,0.787,28.23%,691, DU ,Apr 11 2023,NA,Funded,30 Year Conventional
10049718,09/09/25,10-19-2025,8.65,88.252%,0.9185, 19.6 ,784,lpa,Nov 02 2025,NA, Funded ,30yr fixed
10042295,N/A,2023-12-12,7.229%,87.981%,95.156%,38.26,732,LP,2024-01-07,N/A, Funded ,Conventional 30YR
10047610,2025-03-10,2025-03-14,NULL,150%,0.8233,20.78%,625,D.U.,,05/03/2025,Withdrawn,Conv 30yr
10011077,12/15/2024,01/26/25,7.17,61.262%,59.88,0.6013,749,du,20250208,N/A,FUNDED,JUMBO30
10041515,Jul 05 2025,08/11/25, 4.5 ,85.64,83.41, 44.0 ,703,manual underwriting,2025-10-10,,Funded,FHA
10022063,20240208,03/16/2024,6.79,79.8, 79.1 ,35.33,NULL,D.U.,04/13/24,NULL,FUNDED,Conventional 30YR
10009414,09/21/23,20231105,7.10%,102.56,101.713%,14.52,732,Loan Product Advisor,01/06/24,,funded,Conv 30
10038341,20260601,Jun 21 2026,0.0779,102.83,107.72%,25.676%,658,du,20260819,,Closed/Funded,30 Year Conventional
10030264,07/26/25,08/16/25,7.57,75.604%,81.26%, 28.1 ,806,du,09/08/2025,NULL,Funded,30yr fixed
10041253,2026-04-16,2026-05-11,5.05,0.75,73.045%,42.523%,746,Loan Product Advisor,,Jun 07 2026,WD,Conv 30yr
10014645,08-27-2023,09/24/2023, 6.4 ,82.0,0.8527,32.97,700,D.U.,NULL,12/05/2023,W/D,Conventional 30YR
10026336,11-13-2023,12/14/23,6.96, 79.0 ,85.18, 38.9 ,743,du,02/08/24,,Fund,30yr fixed
10028103,01/07/25,02/01/2025,4.90%,75.02,83.76%,47.932%,675,NULL,NULL,NULL,cancel,Conventional 15YR
10017524,2025-11-13,2025-12-19,3.95, 85.2 ,96.63,0.3034,719,D.U.,02/08/26,,Closed/Funded,30 Year Conventional
10024713,04-25-2024,NULL,6.05,67.331%,71.56%,47.275%,643,LPA,20240715,N/A,Closed/Funded,CONV15
10040486,Nov 06 2025,2025-12-13, 7.2 , 74.9 ,0.8186,0.3364,743,DU,,2025-12-30,Declined,CONV30
10003851,03/10/23,03/28/23,7.329%, 86.2 ,90.029%,None,745,DU,06/04/2023,NA,FUNDED,30 Year Conventional
10040041,20250831,2025-09-24,0.063,82.32,98.45%,36.53,772,LP,11-05-2025,,Fund,Conventional 30YR
10015268,04-09-2023,04/30/2023,4.64,0.7547,85.41, 38.6 ,777,LP,05/29/2023,, Funded ,30yr fixed
10049147,11/28/2023,20240108, 5.3 ,92.467%,99.15,26.35,720,DESKTOP UNDERWRITER,01-31-2024,,Closed/Funded,Jumbo
10030002,2025-12-14,01/25/2026,7.309%, 62.8 ,0.6123,0.408,762,du,04-05-2026,NULL,Closed/Funded,30yr fixed
10045927,10/19/2023,Oct 28 2023,8.074%,64.28,73.99,33.143%,712,LP,2023-11-09,N/A,FUNDED,VA
10043825,03-18-2023,20230329,7.496%,0.8557, 74.7 ,34.86,819,Loan Product Advisor,06/09/2023,N/A,Closed/Funded, conventional 30 
10017241,09/15/24,20240929,0.0459,76.758%,75.350%,50.8,733,DU,09/21/24,N/A,funded,Conventional 15YR
10004893,12-28-2025,01/10/2026,7.57%,0.5943,0.6239,23.80%,850,DU,03-02-2026,,FUNDED, conventional 30 
10000726,20260203,20260206,5.7,68.65%, 65.0 ,45.75%,733,D.U.,,Feb 27 2026,withdrawn,30yr fixed
10022950,12/21/25,01/28/2026,N/A,82.51,74.337%,0.3019,808, DU ,Mar 24 2026,None,Funded,Non-Conforming 30
10034658,08/25/2024,09-15-2024,5.37,95.05, 94.4 ,27.909%,763,LPA,2024-10-13,, Funded ,VA
10037214,Jan 11 2025,01/30/25,6.614%,80.16,86.72%,37.45%,761,Desktop Underwriter,20250221,N/A,Funded,Conventional 30YR
10020305,02/10/2024,03/08/2024,6.737%, 64.7 ,53.93%,43.93,656,Desktop Underwriter,05/23/2024,N/A,funded,JUMBO30
10015270,07/21/2023,07-28-2023, 4.5 ,-20%,0.736,30.0,733,Loan Product Advisor,10/19/23,N/A,funded,Conv 30yr
10022368,Sep 07 2025,09/16/2025,0.0604,73.80%,80.078%,20.92,676,Loan Prospector,Dec 10 2025,N/A,Fund,Conventional 30YR
10042685,Jan 27 2025,20250206,6.94%,71.35,72.667%,25.59,664,du,20250414,NULL,Funded, conventional 30 
10046735,Dec 07 2024,Jan 02 2025, 4.2 ,0.6658,0.616,-10%,763, LPA ,03/04/2025,,funded,VA30
10011733,03/01/24,20240321,7.79,999,77.780%,21.34,748,DESKTOP UNDERWRITER,04-25-2024,N/A,FUNDED,VA 30YR
10018620,03-05-2023,Mar 13 2023,5.766%,0.7729,87.01,34.436%,672,Loan Product Advisor,,04/30/2023,Withdraw,30yr fixed
10048493,20230114,02/13/23, 4.5 ,62.72%,61.41%,44.69,721,du,20230301,, Funded ,CONV30
10026804,Aug 29 2025,20250927, 6.2 ,61.55,60.564%,30.79,724,Loan Prospector,2025-11-02,,Fund,Conv 30
10044306,04/20/23,2023-05-29,7.03,86.97%,90.04, 27.0 ,650,D.U.,Aug 02 2023,NULL,funded,VA 30YR
10047523,Oct 04 2023,20231117,0.0605,70.77,75.54%,0.4535,661,Desktop Underwriter,2024-01-22,N/A,Closed/Funded,Conv 30yr
10032208,12-07-2025,20251213,5.92,0.6006,67.56, 46.8 ,752,DESKTOP UNDERWRITER,,02-05-2026,Withdraw,15yr fixed
10002531,20241102,20241215,5.86%,72.58,80.64,48.85%,737,DU,02/20/2025,N/A,Closed/Funded,Conv 30yr
10017747,01/07/23,20230128,0.063,57.35,58.09,0.5652,742,D.U.,04/21/2023,N/A, Funded ,FHA
10008271,Apr 08 2026,Apr 13 2026,7.18%,1.0064,107.05%,41.18,661,DU,05/29/26,NULL, Funded ,Conv 30yr
10015080,Aug 02 2024,2024-09-02,6.560%,1.0121,105.91,45.49,696, DU ,11-27-2024,,Fund,CONV30
10013625,06/23/24,Jul 27 2024,5.4,54.352%,0.6064,40.43%,783, LPA ,2024-08-12,N/A,Funded,Conv 30
10030639,01-09-2024,Jan 15 2024,4.32,100.65,95.23%,41.33,741,DESKTOP UNDERWRITER,03/18/2024,NULL,Closed/Funded,VA
10030441,01/04/26,01/18/2026,6.6, 57.2 ,0.6532,0.4877,731, DU ,Mar 15 2026,NULL,Closed/Funded,Jumbo
10036057,01-22-2023,20230213, 6.3 , 64.0 ,0.7331,25.949%,790,Loan Prospector,02/27/2023,None,funded,NA
10042652,04/27/2026,May 13 2026,7.055%,79.77%,89.34, 30.9 ,688,DESKTOP UNDERWRITER,2026-07-31,NULL,funded,CONV15
10036804,Jun 10 2026,2026-07-16,6.141%,0.6293,65.44%,29.37,664,D.U.,08/23/2026,NULL,funded,30YR FHA
10048225,2024-09-19,10/29/24,0.0579,59.36%,63.477%,48.39%,802, LPA ,2025-01-16,,Funded,30yr fixed
10029227,05/30/2026,07/09/2026,0.0661,60.48,72.790%, 37.2 ,737, DU ,20261004,NA,Fund,Conv 30yr
10005634,20251228,20260207, 8.3 ,78.38,79.65,34.38%,703,Man UW,04/13/26,None, Funded ,FHA 30YR
10005988,04-05-2024,04-24-2024,7.107%,94.869%,99.549%,0.5803,719,DESKTOP UNDERWRITER,May 15 2024,None,Funded,Non-Conforming 30
10048064,20240225,2024-04-06,7.000%, 55.4 , 53.0 ,30.20%,685,manual,N/A,05/17/24,cancel,V.A.
10001813,05/26/2026,06/06/26,5.27,89.486%,95.855%,35.72,628,lpa,NULL,08/17/2026,W/D,Conventional 30YR
10027579,2024-03-14,04/04/24,4.71, 90.4 ,99.05%, 32.2 ,722,lpa,2024-05-23,NA,Fund,30YR FHA
10016824,2024-09-05,2024-10-05,7.05,62.82,68.11,32.37%,751,lpa,N/A,12/12/2024,Cancelled,30YR FHA
10003929,Sep 12 2024,09/29/24, 5.8 ,85.483%,0.8784,34.78,698,DU,20241103,,FUNDED,Conv 30
10037287,Aug 06 2024,08-25-2024,6.48%,57.35,66.97,32.31,724,Desktop Underwriter,NA,NULL,Fund,FHA 30YR
10025046,May 16 2024,06-27-2024,0.0661, 82.1 ,88.961%,53.86,766,du,Sep 23 2024,,Fund,Conv 30yr
10015728,03/26/2024,04/05/24, 4.4 ,51.35,0.4077,0.2117,717,lpa,04/16/24,N/A,Closed/Funded,Conv 30yr
10029601,06/30/24,20240711,4.679%, 59.5 ,61.72%,0.5473,755,DU,08/26/2024,,Closed/Funded,CONV30
10010431,2025-03-08,04/08/2025,7.29,0.7307,80.51, 53.7 ,685,du,2025-07-04,None,Funded,30 Year Conventional
10025769,2024-06-19,07-09-2024,6.73%,89.78,79.78,40.6,seven hundred, LPA ,,2024-08-19,Credit Denied, conventional 30 
10029104,20240923,11-01-2024,0.047, 93.2 ,104.30%,35.8,817,Manual,12/31/2024,N/A,Funded,FHA 30YR
10036538,12/14/25,N/A,5.564%, 77.9 ,72.08,47.13,702,Desktop Underwriter,12/30/25,,Closed/Funded,Conv 30
10039329,20260526,20260528,5.14,0.4744, 53.0 ,40.06,646, LPA ,2026-06-27,None,Funded,Conv 30
10035540,03-01-2025,02/26/25,4.66%,79.420%, 76.4 ,31.83,648,DESKTOP UNDERWRITER,20250507,,funded,30 Year Conventional
10028076,03/26/2024,05-10-2024, 3.9 ,94.64%,91.87,26.021%,782,DESKTOP UNDERWRITER,08/03/24,NA,Closed/Funded,15 Year Conventional
10017841,01/18/23,02/07/2023,4.78,0.7356,72.684%,0.453,816,MANUAL UW,,20230312,Denied,VA
10027803,2023-10-11,09/17/23,5.73,86.215%, 85.3 , 42.4 ,850,Desktop Underwriter,2023-11-26,NULL,Closed/Funded,VA 30YR
10007683,2026-01-14,01-29-2026, 6.7 ,89.16,88.7,37.3,761,Loan Product Advisor,2026-02-08,None,funded,30yr fixed
10024280,20260505,05-23-2026,7.0,91.571%,0.8843,42.504%,633,LP,NULL,07/13/26,DENY,30 Year Conventional
10033071,12-12-2025,Jan 06 2026,0.0614,57.21%,62.16,45.91%,666,du,2026-03-10,N/A,FUNDED,30 Year Conventional
10035558,12/02/25,Dec 05 2025,5.68, 72.5 , 70.9 ,53.22,808,D.U.,02/06/2026,NA,FUNDED, conventional 30 
10037190,04-25-2024,05/19/24,5.14%,79.94, 92.1 ,32.145%,807,DU,06/01/24,,FUNDED,Conv 30yr
10047150,2025-05-11,06/25/25,3.566%,0.8021,77.98,43.22,663,DESKTOP UNDERWRITER,08/30/25,, Funded ,VA
10046916,20241117,12/01/2024,6.56%,69.082%,0.805,0.3549,733,DU,01-21-2025,N/A,Funded,VA 30YR
10009802,2023-05-15,20230602,6.95,79.11%,0.9903,46.42,685,MANUAL UW,2023-08-13,,funded,30yr fixed
10038801,08/12/2024,09-09-2024,0.0794,71.74%, 72.6 , 25.1 ,741,DU,09/24/2024,None,funded,30yr fixed
10024670,11-21-2025,11-22-2025,7.59, 88.9 ,105.129%,32.58%,699,du,20260219,NULL, Funded ,30yr fixed
10044234,05/31/25,07/14/25,7.88,0.5897, 48.1 , 18.9 ,762,Loan Prospector,10-12-2025,None,Funded,15 Year Conventional
10031920,03-03-2023,04/05/23,5.87,53.97%,52.87%, 38.4 ,706,DU,06/04/2023,NULL,FUNDED,30yr fixed
10007135,Aug 17 2024,2024-08-24,6.46,75.12%,79.015%, 37.6 ,777,manual underwriting,N/A,09-21-2024,withdrawn, conventional 30 
10033705,11/03/2023,20231122,6.86%,58.70%,0.6126,28.516%,769,du,2023-12-31,NULL, Funded ,30yr jumbo
10029661,04-07-2025,05/17/25,0.0656,60.86,56.39,26.54,749, LPA ,Jul 04 2025,NULL,FUNDED,VA 30YR
10017894,04/18/23,2023-05-18,5.43, 85.0 ,85.73%,21.83%,703,DU,20230508,NA,Closed/Funded,30yr fixed
10022019,Aug 23 2025,2025-09-09,0.0693,0.9125,88.08%,28.14,731, DU ,10/02/25,,FUNDED,15 Year Conventional
10013539,03-20-2023,04/29/2023,0.0652,90.780%,0.9118,27.04%,828,Manual,N/A,Jul 12 2023,Denied,30yr fixed
10043119,12-04-2025,12-27-2025,5.923%,73.53,75.16%,0.2629,664,DESKTOP UNDERWRITER,01/23/26,N/A,Funded,30yr jumbo
10036421,12/13/24,01/03/2025,5.5, 84.6 ,87.49,29.41,778, DU ,02/08/25,NULL,FUNDED,Conventional 30YR
10009406,20231216,2024-01-15,0.0566,62.4,62.88,0.3775,688,DU,03/24/24,,Fund,V.A.
10013414,2026-02-03,03/07/26,5.88%,68.982%,84.66%,N/A,716,du,Apr 27 2026,NA,Fund,FHA
10006721,Mar 31 2026,05-08-2026,6.76%,0.837,0.8216,0.3614,708, LPA ,2026-08-05,,Closed/Funded,FHA
10015602,20241201,12/28/24,6.34,83.976%, 88.9 ,27.81,713, DU ,01/25/2025,,Closed/Funded,Conventional 30YR
10044744,2024-04-07,05-11-2024, 6.3 ,0.8205,79.87%,31.16%,773, DU ,20240613,NULL,Closed/Funded,Conv 30yr
10031139,20230902,2023-09-27,6.93,81.439%,87.77,0.4099,663, DU ,10/26/23,NA,None,Conventional 30YR
10002730,20230504,05/05/23,0.0501,0.6424,68.6,16.444%,718,LPA,07/30/23,,Funded,Conventional 30YR
10038243,20230804,09/02/2023,3.877%,40.25, 48.3 ,0.4242,702, DU ,10/21/23,NULL, Funded ,FHA 30YR
10029626,07-13-2025,2025-08-16,7.37,79.25%, 78.5 ,35.42%,786,LP,None,Sep 19 2025,W/D,30yr fixed
10047895,2025-11-06,2025-11-07,6.62,79.28%,77.994%,29.17,766,DU,11/24/25,NULL,FUNDED,CONV30
10042091,Mar 11 2025,04/25/25, 7.1 ,72.26, 71.8 ,29.24,689,LPA,20250717,,FUNDED, conventional 30 
10036400,2023-03-07,Apr 02 2023,6.47, 62.2 , 70.6 ,32.99%,707,DU,,05/03/2023,DENY,15yr fixed
10006245,20250520,2025-06-11,7.09,84.77,90.68%,33.22%,757,DESKTOP UNDERWRITER,07/03/2025,,Funded,Non-Conforming 30
,Sep 06 2024,10/08/24,0.0746,72.255%,-5,0.3152,768,du,Nov 02 2024,NA,Fund,CONV30
10004065,2025-08-19,2025-09-10, 6.8 ,75.488%,0.7666,42.356%,806,du,20250925,, Funded ,VA30
10012852,20241014,10/18/2024,6.04,58.27,0.6871,27.53,726,lpa,12-07-2024,N/A,funded,CONV30
10021803,04-06-2024,04-13-2024,0.0664,87.77%,90.06, 30.3 ,769,Man UW,20240520,,NULL,Conv 30yr
10041164,Oct 07 2025,11/01/25,0.0538,-20%,76.28,29.7,607,manual underwriting,20260121,,funded,Conv 30
10006233,20250216,03-04-2025, 6.6 ,0.9627,95.03%,46.36,694,LPA,NA,04/30/2025,Withdraw,Conv 30yr
10003863,09-30-2024,2024-10-19, 6.2 ,73.81,75.11,-10%,684,Manual,20250117,,Closed/Funded,Conv 30yr
10035095,2024-07-23,08/24/24,7.40%,71.26,71.76, 26.1 ,666,D.U.,NA,09/28/2024,DENY,FHA
10040196,2023-08-26,10-05-2023,5.248%,95.03,0.9614,34.155%,727,LPA,2023-12-02,NULL,Funded,Conv 30
10039251,09/01/2023,2023-10-13,6.65, 90.3 ,89.5, 56.6 ,662, DU ,01/02/2024,,Closed/Funded,Conv 30
10006218,2024-06-18,06/24/24,6.33, 62.6 ,69.87%,48.43,642,LP,2024-09-02,,Funded,Conv 30
10036776,2023-07-07,Aug 18 2023,8.05,83.74,85.98,21.18,620,Man UW,N/A,20230908,Lock Expired,30 Year Conventional
10042977,20260213,02/24/2026,9.201%,0.6316,64.15, 40.2 ,659,DU,03-06-2026,,Fund,Jumbo
10048468,03/15/2024,03/30/24,-3%, 103.4 ,115.0,43.333%,629,Loan Product Advisor,2024-06-16,None,Funded,30 Year Conventional
10014832,08-05-2023,08-15-2023,6.283%,85.685%,0.9288,0.3523,644,lpa,N/A,2023-09-10,Canceled,Jumbo 30YR
10030093,20240419,20240510, 7.5 ,63.146%,64.04%,31.33%,699, LPA ,06-29-2024,NULL, Funded ,CONV15
10008894,06/23/25,Jul 01 2025,8.23,68.23%,69.95,37.34%,693,du,NULL,20250809,DENY,VA30
10006021,2023-09-27,10-09-2023,5.74,62.5,NULL, 45.8 ,795,LP,NA,20231012,Canceled,FHA30
10046089,20230416,04/23/23,6.502%,75.16,84.52,0.4553,734,Loan Product Advisor,05/18/2023,NA, Funded ,
10015243,2024-01-10,20240223,6.01%,66.651%,86.47%,37.15%,850,Loan Prospector,May 08 2024,N/A,Fund,Conv 30yr
10045308,2024-08-04,2024-08-17,0.0645,53.86,47.12%,28.96,687, LPA ,2024-09-29,, Funded ,VA30
10004689,10-17-2025,Nov 08 2025,6.01,0.7119,81.305%,36.11,797,lpa,N/A,Nov 13 2025,DENY,Conv 30yr
10006035,Mar 15 2023,20230326,0.078,0.8175,79.269%,29.15,797,D.U.,05-14-2023,NULL,funded,30 Year Conventional
10007906,06/30/26,Jul 13 2026,6.045%,69.46,78.99,29.79%,640,Desktop Underwriter,09/16/2026,NULL, Funded , conventional 30 
10032226,08/09/2024,09/15/24,4.95,99.520%,, 55.5 ,761,Loan Product Advisor,11/03/2024,NA,Fund,30yr fixed
10006018,2025-12-02,12/30/25,5.636%,0.8466,79.07,0.3403,703,LP,20260110,,FUNDED,JUMBO30
10021880,N/A,20240701,6.75,NA, 92.9 ,51.043%,737,Desktop Underwriter,2024-08-22,NULL, Funded ,F.H.A.
10002792,2024-11-03,2024-12-11,7.11%,0.8872,88.84,40.53,714, DU ,,02/18/2025,Declined,30yr jumbo
10042606,07/01/2025,2025-07-08,0.0747,82.3,83.647%,49.48,749,du,2025-09-09,,Closed/Funded,30 Year Conventional
10005824,NULL,Oct 09 2024,6.161%,999, 61.4 ,0.3441,756,LP,11/09/2024,N/A,Funded,FHA
10015388,2023-12-22,20240112,5.64,75.38,0.8332,40.95%,806,du,03/28/24,None,Funded, conventional 30 
10029562,07-19-2025,Aug 23 2025, 5.7 , 87.0 ,0.9604,25.8,672,Desktop Underwriter,N/A,10-13-2025,Withdraw,Conv 30
10039476,2024-05-29,Jun 11 2024,6.328%,80.18, 79.9 ,36.176%,728,LPA,07/20/2024,NULL,Closed/Funded,JUMBO30
10000293,06-01-2024,06/29/24,5.830%,71.698%,84.67%,42.744%,820,Loan Product Advisor,09-01-2024,N/A,Closed/Funded,Conv 30yr
10016958,01/21/2025,01-27-2025,0.0512,0.6896,66.81,38.2,707,DU,03/05/2025,NA,Funded,30 Year Conventional
10030861,May 18 2024,06/25/2024,4.67,0.5955,69.95,45.57,795,du,09-14-2024,NULL,Closed/Funded, conventional 30 
10014074,01/06/2026,01/28/26,7.69,65.246%,0.6406,21.63,717, LPA ,NA,20260209,DENY,Conv 30
10021857,08/23/2025,Sep 29 2025, 8.4 ,87.11%, 86.5 ,36.978%,764,D.U.,Dec 20 2025,,FUNDED,Conventional 30YR
10022080,2024-11-12,12/01/2024,5.42%,66.562%,71.52, 43.0 ,701,Loan Prospector,20241212,N/A, Funded , conventional 30 
10017024,May 07 2025,05-25-2025,0.0733,0.6691,67.989%,51.700%,850,Man UW,2025-08-04,NULL,funded,Conv 30yr
10008740,Mar 27 2026,04/22/2026,5.97%,None, 90.3 ,39.920%,630, LPA ,05/18/26,,Fund,Jumbo
10015826,08/24/25,09-14-2025,6.14, 90.7 ,80.004%, 49.5 ,649, LPA ,11-30-2025,None,Closed/Funded,VA30
10002742,08/06/2025,20250807, 6.2 ,103.88%,1.0194, 55.4 ,792,Desktop Underwriter,10-30-2025,, Funded ,Conventional 30YR
10018049,05-03-2024,May 29 2024,4.98%,0.9482,86.95,33.77%,850,LPA,07/10/24,NA,funded,Conventional 30YR
10049937,04/05/25,May 20 2025,-3%,102.192%,102.27%, 38.6 ,695, LPA ,N/A,07/31/25,Denied,FHA30
10017373,2025-03-29,04/16/2025,7.47,69.71,64.97, 37.5 ,850,LPA,05/27/2025,NA,Funded,Conv 30
10022022,Jan 04 2025,02-05-2025,5.42,80.79,80.69,0.2812,713, DU ,Mar 26 2025,,Fund,Conventional 30YR
10046365,10/07/2023,20231015,5.09, 84.0 ,82.85,46.786%,684,LPA,11-21-2023,,FUNDED, conventional 30 
10023538,Jun 16 2026,07/11/26,0.0576,105.0,112.2, 36.8 ,733,manual underwriting,2026-08-16,,FUNDED,FHA 30YR
10045500,12/15/24,12-29-2024,7.24,63.59,69.95%,21.22,725,Desktop Underwriter,01/16/25,None,Fund,Conv 30
10040186,11/07/24,11-19-2024, 6.1 ,87.15,82.74%,11.562%,741,Manual,NULL,NULL,Declined, conventional 30 
10009614,2023-06-14,2023-07-21, 7.7 ,59.33, 53.1 ,31.45,801,du,08/13/2023,N/A,Funded,Conventional 30YR
10043282,20250105,Jan 22 2025,6.15%,0.5503,0.5864,39.19%,688,LPA,N/A,Jan 27 2025,Cancelled,Conv 30yr
10037892,20230327,2023-05-04, 5.8 ,0.6596,69.95,40.934%,759,LP,,07/01/23,Lock Expired,30 Year Conventional
10026179,20250608,06/28/2025,6.37,63.62, 63.7 ,56.402%,700,Loan Prospector,Aug 08 2025,NA,funded,Conventional 30YR
10045893,06-13-2026,Jul 20 2026,5.7,0.5919,56.02,0.3456,795,LPA,,Sep 05 2026,cancel,30YR FHA
10020934,2024-12-28,20250122, 6.3 , 104.0 ,1.0184,33.54,810,D.U.,02/23/2025,NULL, Funded ,30yr fixed
10040972,Jan 21 2026,02-16-2026, 5.7 ,0.6956,71.172%, 23.0 ,,LP,,20260311,Canceled,Conv 30
10022225,03-01-2025,20250315,6.66%,1.05,108.95,45.4,788,LP,NULL,May 02 2025,Cancelled,Conventional 30YR
10024382,2024-02-18,03/18/24,6.27%,80.89%,76.655%,21.24%,670,DESKTOP UNDERWRITER,NA,20240513,Lock Expired,30yr fixed
10034856,Feb 23 2026,2026-04-04,6.05,71.13%,70.30%,25.48,735,MANUAL UW,,NULL,FUNDED,Conv 30
10048578,NULL,Oct 05 2025,5.98,68.158%,69.371%,22.17,710,DU,10-28-2025,N/A,None,CONV30
10038537,20240907,20240910,6.99%,87.75,0.8282,32.79,748,DESKTOP UNDERWRITER,10/20/24,,funded,VA30
10031756,05-02-2026,2026-05-16,7.63%, 71.3 ,81.83%,39.90%,715,Manual,07/29/26,,FUNDED,FHA 30YR
10007754,Sep 19 2025,Oct 19 2025,7.354%,84.04,90.42, 40.3 ,832,du,12-03-2025,,Fund,Conv 30
10046639,2024-09-11,10/15/24,0.0647,83.319%,88.19,40.49,758,du,12/11/2024,NULL,FUNDED,15 Year Conventional
10043835,12/31/24,01-12-2025,6.03,52.73,51.331%,31.64,691,du,03-26-2025,,Fund,30 Year Conventional
10026236,2023-02-20,2023-03-13,6.46%, 83.6 ,88.77,0.2357,764,Loan Product Advisor,2023-03-31,,FUNDED,Conventional 30YR
10044230,Jan 13 2025,2025-02-12,0.0614,None,83.21, 48.0 , 740 ,D.U.,NA,,Fund,FHA
10049597,Jan 28 2025,Mar 13 2025,7.31,0.7491,70.36,44.74%,722,Desktop Underwriter,20250416,, Funded ,CONV15
